0,9
0,11
0,12
0,15
0,17
0,18
0,19
0,23
0,25
1,10
1,11
1,12
1,14
1,15
1,17
1,19
1,20
1,24
2,10
2,11
2,15
2,16
2,17
2,20
2,25
3,10
3,13
3,14
3,15
3,16
3,19
3,21
3,22
3,23
3,25
4,10
4,12
4,13
4,15
4,17
4,18
4,20
4,21
4,22
4,23
4,24
4,25
5,9
5,11
5,12
5,16
5,17
5,19
5,22
5,23
5,25
7,14
7,15
7,20
7,21
7,24
7,25
7,26
7,29
7,30
7,31
8,11
8,13
8,14
8,15
8,17
8,18
8,20
8,21
8,24
8,25
8,27
8,30
8,31
9,1
9,2
9,4
9,10
9,14
9,21
9,22
9,28
9,31
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,21
10,22
10,23
10,24
10,27
10,30
10,31
10,32
11,0
11,2
11,3
11,5
11,7
11,8
11,10
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,30
11,31
12,0
12,1
12,2
12,3
12,10
12,11
12,12
12,13
12,15
12,18
12,14
12,24
12,31
13,1
13,3
13,7
13,9
13,12
13,13
13,14
13,18
13,19
13,23
13,25
13,26
13,27
13,30
13,31
13,32
14,0
14,1
14,3
14,4
14,5
14,7
14,9
14,10
14,11
14,12
14,13
14,17
14,19
14,20
14,23
14,31
14,32
15,0
15,1
15,7
15,9
15,10
15,11
15,13
15,14
15,15
15,16
15,17
15,18
15,19
15,21
15,24
15,26
15,30
15,32
16,1
16,3
16,5
16,8
16,11
16,12
16,16
16,18
16,20
16,23
16,28
16,29
16,30
16,32
17,1
17,3
17,5
17,8
17,12
17,13
17,15
17,17
17,18
17,19
17,20
17,22
17,24
17,27
17,28
17,31
18,0
18,1
18,2
18,8
18,10
18,13
18,15
18,16
18,17
18,18
18,19
18,21
18,23
18,26
18,27
18,29
18,30
18,32
19,5
19,7
19,9
19,10
19,11
19,15
19,17
19,19
19,21
19,23
19,24
19,27
19,28
19,29
19,30
19,31
20,1
20,3
20,4
20,7
20,8
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,18
20,19
20,21
20,23
20,25
20,28
20,29
20,30
20,31
20,32
21,0
21,2
21,5
21,7
21,8
21,9
21,10
21,14
21,19
21,23
21,24
21,28
21,32
22,0
22,1
22,2
22,4
22,5
22,7
22,9
22,10
22,11
22,12
22,13
22,14
22,17
22,18
22,19
22,21
22,23
22,24
22,29
22,31
23,2
23,3
23,7
23,10
23,11
23,14
23,15
23,16
23,18
23,20
23,21
23,22
23,23
23,24
23,30
24,2
24,3
24,5
24,8
24,9
24,12
24,13
24,16
24,17
24,18
24,19
24,20
24,21
24,25
24,26
24,27
24,31
